osm_id,osm_type,type,name_en,lon,lat,name,name:zh,wikidata,wikipedia
1034639351,node,Hotel,Bulgari Hotels and Resorts Bali,,,,,,
119556418,node,Hotel,Grand Nikko Bali,,,,,,
4177911950,node,Hotel,InterContinental Bali Resort,,,,,,
3744065623,node,Hotel,Liberty Dive Resort,,,,,,
4177488289,node,Hotel,POP Hotel Kuta Beach,,,,,,
489583809,node,Hotel,Ramada Resort Benoa Bali,,,,,,
4177857642,node,Hotel,RIMBA Jimbaran Bali,,,,,,
4247996630,node,Hotel,Sadara Boutique Beach Resort,,,,,,
4177840107,node,Hotel,Sanur Paradise Plaza Hotel,,,,,,
794606886,node,Hotel,Sanur Paradise Plaza Hotel,,,,,,
4258561789,node,Hotel,Sun Island Hotel Kuta,,,,,,
132366910,way,Hotel,"The Laguna, a Luxury Collection Resort & Spa, Nusa Dua, Bali",,,,,,
128438467,node,Hotel,"The Laguna, a Luxury Collection Resort & Spa, Nusa Dua, Bali",,,,,,
132240625,way,Hotel,The Villas at AYANA Resort and Spa Bali,,,,,,
4177727592,node,Hotel,The Villas at AYANA Resort and Spa Bali,,,,,,
261089614,way,Hotel,The Vira Bali Hotel,,,,,,
4247969150,node,Hotel,The Vira Bali Hotel,,,,,,
4182516134,node,Hotel,"The Westin Resort Nusa Dua, Bali",,,,,,
132366899,way,Restaurant,Arwana Restaurant,,,,,,
317207545,node,Restaurant,Bebek Bengil (Dirty Duck Diner),,,,,,
1751873270,node,Restaurant,Cafe bali,,,,,,
4424538107,node,Restaurant,Café Des Artistes,,,,,,
4196332489,node,Restaurant,Hanging gardens Ubud,,,,,,
4358724690,node,Restaurant,Kuta Night Market,,,,,,
4178043239,node,Restaurant,Laota,,,,,,
4274714891,node,Restaurant,Locavore,,,,,,
1817538556,node,Restaurant,Mama San,,,,,,
3729596372,node,Restaurant,Revolver,,,,,,
1977779907,node,Restaurant,The Lakeview Restaurant,,,,,,
4401055968,node,Restaurant,Three Monkeys,,,,,,
925101531,node,Restaurant,Warung Made Becik,,,,,,
25159103,way,Shopping,bali collection,,,,,,
4177815168,node,Shopping,bali collection,,,,,,
361220496,way,Shopping,Beachwalk shopping mall,,,,,,
80706302,way,Shopping,Carrefour Kuta,,,,,,
4407995228,node,Shopping,denpasar junction,,,,,,
4423178580,node,Shopping,DFS Galleria Bali,,,,,,
130633772,way,Shopping,Discovery Shopping Mall,,,,,,
4180116589,node,Shopping,Discovery Shopping Mall,,,,,,
25120719,way,Shopping,Jalan Petitenget,,,,,,
166735156,way,Shopping,Jalan Seminyak,,,,,,
4414250726,node,Shopping,Krisna Oleh Oleh Khas Bali,,,,,,
260884085,way,Shopping,Lippo mall,,,,,,
3173930847,node,Shopping,Matahari,,,,,,
391619140,way,Shopping,Pura Tirta Empul Market,,,,,,
4179897521,node,Shopping,Seminyak Square,,,,,,
4376967778,node,Shopping,Tegallalang Rice Terraces Market,,,,,,
2385574277,node,Shopping,Ubud,,,,,,
2485807590,node,Tourism,Alun-Alun Puputan,,,,,,
2483312803,node,Tourism,Bali Shell Museum,,,,,,
1456270342,node,Tourism,Batuan Temple,,,,,,
1308670079,node,Tourism,Batuan Village,,,,,,
1308721836,node,Tourism,Batubulan Village,,,,,,
4436155291,node,Tourism,Bluepoint,,,,,,
122741626,way,Tourism,Borobudur Temple Compunds,,,,,,
428805386,node,Tourism,botanic garden,,,,,,
4100128689,node,Tourism,Campuhan Ridge Walk,,,,,,
2154599548,node,Tourism,Devil's Tear,,,,,,
1374638551,node,Tourism,Elephant Safari Park,,,,,,
428804451,node,Tourism,Gitgit Waterfall,,,,,,
386307269,way,Tourism,Jimbaran Fish Market,,,,,,
3891185616,node,Tourism,Kintamani Volcano,,,,,,
292801401,node,Tourism,Kintamani Volcano,,,,,,
516165315,node,Tourism,Lembongan,,,,,,
3849735168,node,Tourism,Lombok,,,,,,
374506947,way,Tourism,Monumen Perjuangan Rakyat Bali,,,,,,
986319563,node,Tourism,Monumen Yesus Memberkati,,,,,,
273955920,node,Tourism,Padang Bai,,,,,,
457417499,node,Tourism,Pemuteran Bay,,,,,,
1768296160,node,Tourism,Pura Luhur Uluwatu,,,,,,
1768296160,node,Tourism,Pura Luhur Uluwatu,,,,,,
238194818,way,Tourism,Pura Saraswati,,,,,,
260611610,way,Tourism,Seminyak Beach,,,,,,
989887758,node,Tourism,Stone Pillar,,,,,,
4423187320,node,Tourism,Taman Air Spa Bali,,,,,,
317207544,node,Tourism,Temple of the Meeting of the Three,,,,,,
319082622,way,Hotel,Aetas Lumpini,,,,,,
194876474,way,Hotel,Amari Don Muang Airport Bangkok Hotel,,,,,,
331281045,way,Hotel,Bangkok Cha-Da Hotel,,,,,,
271102924,way,Hotel,Best Western Premier Sukhumvit,,,,,,
